Nombre,Partido,Presidente,fecha_start,fecha_end,cartera
Mariano Nicolás Valcárcel,,Remigio Morales Bermúdez,1890-08-10 00:00:00,1891-07-25 00:00:00,Interior
Francisco G. Chávez (interino),,Remigio Morales Bermúdez,1891-07-25 00:00:00,1891-08-24 00:00:00,Interior
Federico Herrera,,Remigio Morales Bermúdez,1891-08-24 00:00:00,1892-05-02 00:00:00,Interior
Juan Ibarra y Ortiz,Partido Constitucional,Remigio Morales Bermúdez,1892-05-02 00:00:00,1892-06-30 00:00:00,Interior
Carlos María Elías,Partido Constitucional,Remigio Morales Bermúdez,1892-06-30 00:00:00,1893-03-03 00:00:00,Interior
Manuel Velarde Seoane,Militar,Remigio Morales Bermúdez,1893-03-03 00:00:00,1893-05-11 00:00:00,Interior
Pedro José Zavala,,Remigio Morales Bermúdez,1893-05-11 00:00:00,1893-09-28 00:00:00,Interior
Alfredo Gastón,,Remigio Morales Bermúdez,1893-09-28 00:00:00,1894-04-01 00:00:00,Interior
Guillermo Ferreyros,Militar,Justiniano Borgoño,1894-04-01 00:00:00,1894-08-10 00:00:00,Interior
Cesáreo Chacaltana,Partido Civil,Andrés A. Cáceres,1894-08-10 00:00:00,1894-11-16 00:00:00,Interior
José Salvador Cavero Ovalle,Partido Constitucional,Andrés A. Cáceres,1894-11-16 00:00:00,1895-03-20 00:00:00,Interior
Ricardo W. Espinoza Medina,,Manuel Candamo (Junta de Gobierno),1895-03-20 00:00:00,1895-09-08 00:00:00,Interior
Antonio Bentín,Partido Demócrata,Nicolás de Piérola,1895-09-08 00:00:00,1895-11-30 00:00:00,Interior
Benjamín Boza,Partido Demócrata,Nicolás de Piérola,1895-11-30 00:00:00,1895-11-30 00:00:00,Interior
Benjamín Boza,,Nicolás de Piérola,1895-11-30 00:00:00,1896-08-08 00:00:00,Interior
José María de la Puente,,Nicolás de Piérola,1896-08-08 00:00:00,1896-08-19 00:00:00,Interior
Lorenzo Arrieta,,Nicolás de Piérola,1896-08-19 00:00:00,1897-11-25 00:00:00,Interior
Alejandro López de Romaña,,Nicolás de Piérola,1897-11-25 00:00:00,1897-12-23 00:00:00,Interior
José María de la Puente,,Nicolás de Piérola,1897-12-23 00:00:00,1899-09-08 00:00:00,Interior
Domingo J. Parra Aubide,Militar,Eduardo López de Romaña,1899-09-08 00:00:00,1900-08-07 00:00:00,Interior
Enrique Coronel Zegarra,,Eduardo López de Romaña,1900-08-07 00:00:00,1900-10-02 00:00:00,Interior
Ernesto Zapata,Militar,Eduardo López de Romaña,1900-10-02 00:00:00,1901-09-11 00:00:00,Interior
Leonidas Cárdenas,,Eduardo López de Romaña,1901-09-11 00:00:00,1902-08-09 00:00:00,Interior
Alejandro Deustua Escarza,,Eduardo López de Romaña,1902-08-09 00:00:00,1902-11-04 00:00:00,Interior
Rafael Villanueva Cortez,,Eduardo López de Romaña,1902-11-04 00:00:00,1903-09-08 00:00:00,Interior
Juan de Dios de la Quintana,,Manuel Candamo,1903-09-08 00:00:00,1904-05-14 00:00:00,Interior
Juan de Dios de la Quintana,,Serapio Calderón,1904-05-14 00:00:00,1904-09-24 00:00:00,Interior
Eulogio Romero Salcedo,,José Pardo y Barreda,1904-09-24 00:00:00,1906-02-19 00:00:00,Interior
