Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
Enrique Coronel-Zegarra Castro,Partido Demócrata,Eduardo López de Romaña,0.0,constitutional,RENUNCIA_FORZADA,1900-08-30,1900-10-02
Domingo M. Almenara Butler,,Eduardo López de Romaña,,constitutional,CENSURA_CONGRESO,1900-10-02,1901-09-11
Cesáreo Chacaltana Reyes,Partido Civil,Eduardo López de Romaña,0.0,constitutional,CAMBIO_GABINETE,1901-09-11,1902-08-09
Alejandro Deustua Escarza,,Eduardo López de Romaña,,constitutional,CENSURA_CONGRESO,1902-08-09,1902-11-04
Eugenio Larrabure y Unanue,,Eduardo López de Romaña,,constitutional,FIN_GOBIERNO,1902-11-04,1903-09-08
José Pardo y Barreda,Partido Civil,Manuel Candamo Iriarte,0.0,constitutional,MUERTE,1903-09-08,1904-04-18
José Pardo y Barreda,Partido Civil,Serapio Calderón Chirinos,0.0,replaceVice,TRANSICION,1904-04-18,1904-05-14
Alberto Elmore Fernández,,Serapio Calderón Chirinos,,replaceVice,TRANSICION,1904-05-14,1904-09-24
Augusto Leguía,Partido Civil,José Pardo y Barreda (I),0.0,constitutional,RENUNCIA,1904-09-24,1907-08-01
Agustín Tovar Aguilar,,José Pardo y Barreda (I),,constitutional,CAMBIO_GABINETE,1907-08-01,1907-10-09
Carlos Alberto Washburn Salas,,José Pardo y Barreda (I),,constitutional,FIN_GOBIERNO,1907-10-09,1908-09-24
Eulogio I. Romero Salcedo,,Augusto Leguía,,constitutional,RENUNCIA_FORZADA,1908-09-24,1909-06-08
Rafael Villanueva Cortez,,Augusto Leguía,,constitutional,CAMBIO_GABINETE,1909-06-08,1910-03-14
Javier Prado y Ugarteche,Partido Civil,Augusto Leguía,0.0,constitutional,RENUNICA,1910-03-14,1910-08-03
Germán Schreiber Waddington,Partido Civil,Augusto Leguía,0.0,constitutional,RENUNCIA_FORZADA,1910-08-03,1910-10-21
José Salvador Cavero Ovalle,Partido Constitucional,Augusto Leguía,0.0,constitutional,CAMBIO_GABINETE,1910-11-03,1910-12-27
Enrique C. Basadre Stevenson,,Augusto Leguía,,constitutional,RENUNICIA_FORZADA,1910-12-27,1911-08-31
Agustín Guillermo Ganoza y Cavero,Partido Civil,Augusto Leguía,0.0,constitutional,FIN_GOBIERNO,1911-08-31,1912-09-24
Elías Malpartida Franco,Partido Demócrata,Guillermo Billinghurst Angulo,0.0,constitutional,CENSURA_CONGRESO,1912-09-24,1912-12-23
Enrique Varela Vidaurre,Militar,Guillermo Billinghurst Angulo,1.0,constitutional,RENUNCIA,1912-12-24,1913-02-24
Federico Luna y Peralta,,Guillermo Billinghurst Angulo,,constitutional,CAMBIO_GABINETE,1913-02-24,1913-06-17
Aurelio Sousa y Matute,,Guillermo Billinghurst Angulo,,constitutional,CAMBIO_GABINETE,1913-06-17,1913-07-27
Enrique Varela Vidaurre,Militar,Guillermo Billinghurst Angulo,1.0,deFacto,GOLPE_ESTADO,1913-07-27,1914-02-04
Pedro E. Muñiz Sevilla,Militar,Óscar R. Benavides (I),1.0,,RENUNCIA_SALUD,1914-05-16,1914-08-01
Melitón Carvajal Ambulodegui,Marino (r),Óscar R. Benavides (I),1.0,deFacto,CAMBIO_GABINETE,1914-08-01,1914-08-22
Aurelio Sousa y Matute,Partido Demócrata,Óscar R. Benavides (I),0.0,deFacto,CAMBIO_GABINETE,1914-08-22,1914-11-11
Germán Schreiber Waddington,Partido Civil,Óscar R. Benavides (I),0.0,deFacto,TRANSICION,1914-11-11,1915-02-19
Carlos Isaac Abril Galindo,,Óscar R. Benavides (I),1.0,deFacto,FIN_GOBIERNO,1915-02-19,1915-08-18
Enrique de la Riva Agüero,Partido Civil,José Pardo y Barreda (II),0.0,constitutional,RENUNCIA_FORZADA,1915-08-18,1917-07-27
Francisco Tudela y Varela,Partido Civil,José Pardo y Barreda (II),0.0,constitutional,CAMBIO_GABINETE,1917-07-27,1918-12-18
Germán Arenas y Loayza,Partido Civil,José Pardo y Barreda (II),0.0,constitutional,RENUNCIA_FORZADA,1918-12-18,1919-04-28
Juan Manuel Zuloaga,Militar,José Pardo y Barreda (II),1.0,constitutional,GOLPE_ESTADO,1919-04-28,1919-07-04
Mariano Cornejo Zenteno,,Augusto Leguía,,deFacto,CAMBIO_GABINETE,1919-07-04,1919-08-25
Melitón F. Porras Osores,,Augusto Leguía,,deFacto,CAMBIO_GABINETE,1919-08-25,1919-12-06
Germán Leguía y Martínez,Partido Democrático Reformista,Augusto Leguía,0.0,deFacto,RENUNCIA_FORZADA,1919-12-06,1922-10-07
Julio Ego-Aguirre Dongo,Partido Democrático Reformista,Augusto Leguía,0.0,deFacto,CAMBIO_GABINETE,1922-10-07,1924-10-12
Alejandrino Maguiña,Partido Democrático Reformista,Augusto Leguía,0.0,constitutional,CAMBIO_GABINETE,1924-10-12,1926-12-07
Pedro José Rada y Gamio,Partido Democrático Reformista,Augusto Leguía,0.0,constitutional,CAMBIO_GABINETE,1926-12-07,1929-10-12
Benjamín Huamán de los Heros,Partido Democrático Reformista,Augusto Leguía,0.0,constitutional,GOLPE_ESTADO,1929-10-12,1930-08-24
Fernando Sarmiento Ramírez,Militar,Augusto Leguía,1.0,constitutional,GOLPE_ESTADO,1930-08-24,1930-08-25
Gustavo Jiménez Saldías,Militar,Luis Miguel Sánchez Cerro,1.0,deFacto,CAMBIO_GABINETE,1930-08-28,1930-11-24
Antonio Beingolea Balarezo,Marino,Luis Miguel Sánchez Cerro,1.0,deFacto,TRANSICION,1930-11-24,1931-03-01
David Samanez Ocampo,,Junta Nacional de Gobierno,,constitutional,TRANSICION,1931-03-11,1931-12-08
Germán Arenas y Loayza,,Luis Miguel Sánchez Cerro,,constitutional,CAMBIO_GABINETE,1931-12-08,1932-01-28
